NewHash(v1.38),BaseHash
D4E8E24955024033,6E1E3A5B1F9AB95B
577D1284D6873711,543F5B2D3F90CA6D
9C720776DAA43E7E,6E88C3DDF38550FA
F75B0D629E1C063D,B1D85A6C23F2F945
6D0858B8EDFD2B7D,3A13FD2813C8251F
B4EC2312F4E5B1F1,DF23DCD7A3E1B7A5
B4EDDC19532BFB85,87C9692CDE8B3A8D
AA391C728106F7AF,87F1904AB605184A
31D16B74C6E29D66,E6B53A6E51AAA49F
E6CC9F3BA0FB9EF1,79CDCC8ABB331B8C
49C32D60007AFA47,DF02DA324F934755
1CCD9A37359072CF,1664AA1696810AD6
054354A99211EB96,B2EC8B4970766623
85443FF4C328F53B,1D0F0A8090E1551E
593570C289A77688,722D5CFE95568B02
5AA3BEFA29F03AD4,F7701A907195ED86
DAC073C7901F9E15,0E32F508F8A14DE9
812595A0644CE1DE,14FA206D9CE730A9
8BFCEB5EA1B161B6,8E0C45ED2128DA35
AF66DCEE6609B148,FFCFF4576AE8F21E
C90D2DCACD56184C,FC3890D22570A26E
9DC711BC69C548DF,C9126A88F0FAC28F
F3BBE884A14BB413,CDEE919CA17BB8B0
4805D2B1D8CF94A9,9F2928DF31D785C7
7CE1CCB9B293020E,0B676D4511ABB729
F11BC2DD9A3E7195,8F77FF37B3B66EE9
A19435F193E081AC,63316D59F2B56D9A
3BC4245933A166F7,39A17B456BB9800A
B635392A4938B3C3,DCC81D0196B6BB05
0EE21293DAD47C95,3763A95FD16BF2D0
2BB9230590DA5E8A,91A6237658B4DA68
B3ED1BFB4BE636DC,1D74385CEC17951D
25BC98A59C2EA962,AFD2714E8B5AEB9F
8389CD56CA8072DC,67CF1352CC692A08
7619EEE8C886757F,0CC8B4C581022F66
8C4B92553E4766A5,0602C700974DF696
52F357A30698BCCE,CBD5BF9FD895F81F
F8C397922FC03F41,334291A8490E5BCB
A0948AB42D7BA0DE,48E10529AEAE00F9
4198AB0022B15F87,4D79903AC2C62A29
9B0F3DCA3DB0F4CD,C504A6173BF90791
678B9BB8C3F58FEB,7EB56EF7F2EC63A6
4AF9BD80EEBEB453,44CD355F587F467C
F095C0405307B21B,06B95C5D3415375D
B64CF2CCA9D95F52,D1C8CE12A38AA6D0
910A32E7AAD2656C,89FF0171FDDB2246
D2E6822DBFD6C8BD,E3C9546BB1ECEC04
060D935D3981A275,88CF23F322C9687A
05661B80A8C9165F,5B38E054B758C032
DACE671663F2F5DB,CDB2D643EC18E75E
33F2E3FE70EAAE1D,CF1FE5DEA3E2E135
84B233A8C8FC8AE7,0350660BE3973FF3
3DFF319A831E0CDB,64CF0B1FED5D2D23
772960298DA26FDB,B51972B58BF40F96
B3924ECD70E095DC,B7A74982A8F639B9
CEE4490CD57BB3C2,C5C459033A48B1E4
898CC20EA75BACD8,228A4ED518554B3F
E131A28626F81AB2,64F7E3FF8F40315D
F33BDFE19B309B19,B22628F56B3EAA2E
451294E859ECC018,EABC48138FE58714
9D728C1E12BF5518,79D810B8C4DF88FC
67F3780DD425D4FC,094C1D2DFE050D6E
04A355E041E004E6,288277F22D527487
E3DD5F2A84B42281,EE2FD6984DD352B8
A13E93403F26C812,827505E659355200
A48931185F0536FE,554296A515FE935E
6E9C742F340CE5A2,CDA6BA7E76D2CE61
EFFED78E9011134D,2CBBA235A635CC58
015A522136D7F951,0F6DF91234DB95B0
2B9EEDC07BD06B9F,44AF25C80C878F6D
A2C9AC24B4061285,85ADAF0E704499F4
DC16122C7A20C933,0AF4DB9B23D44B88
C593212475FAE340,2B8CB30532811E62
4160B65AE085B5A9,4D6FB5FCCA634B35
310836EE7129BA33,F98B272A945FAE61
D4D7B033C3AA243C,D1ABD511D9C326A3
8DECB02F88F428BC,6CEA35622FBD9702
AD2A7A6DFF55841B,314A1AB56764C12D
31D5E073B6F93CDC,57CE058547D78C25
405425358A7D61FE,0846333BC725A766
6CF598A2957C2BF8,9C54B5A3D8EE1518
EE47635F352DA367,B3E2CBD7C8448401
79923CD21BECE14E,0466DAD8CA6C1EAD
9483AF821605B1D8,96637387D970AEFC
79CFD9827CC979B6,CD663CB6A9EAFB34
2107BA504071A6BB,B71084333B418824
05B7A89BD78797FC,FA82BD1142427E0F
EEA5AC2EDA7C33E8,1078E3E6E7C301E8
26B0E73D7EAAF4D3,E75EE67F14EAAE37
EC4CF9FCB29A4424,6307EBFB74CAFA98
53158863FCC0893A,C844146213F10F48
494E97C2EF27C470,1947D86A2BB06F8D
13D2B8ADD79640F2,942C8DFFBBCB3EB4
25223CA6B4D20B7F,CA86FAB7FADC8353
3D10BC92A4DB1D35,9E6858A319A1F6F2
BBC72712E80257A1,A91C851005050418
961777E64BDAF717,77D50D8E8FF785AC
F6201B4DAF662A9D,60FF5ED57C36A351
1DCCACDCFC569362,5BC0C4A5DB4DFC65
CCA1072C29D096C2,DC39E4D9D73B0D14
A72BC0B675B1519E,E22116C6D321FECA
3E200C2BCF4164EB,9AA45EB0997539A2
7C4BB33A8CED7324,0EEF1F9AA800357B
C19A2925C34D2231,3413996A2603AE97
A7B2458D0AD6DED8,603ABA046B239722
056E0FE8534C2949,76E35164CB4968C4
2A179DF17CCF04CD,E498E37B41AEA1DF
5F28ECF5FC84772F,B4D080997F77F539
450930E616475D0D,956EB3331C33B055
D10282B6E3751BA0,C1D06696CC3E719B
A5EDC40EF369B48D,638BDC79E655C1C2
239528EACDC3E7DE,03903A362E41A74F
BC8983F38F78ED51,4A8177C3950CBBB7
908CBECC2CAA3690,0711D6B5B61B3EBC
886E37EC497200B6,397C98A5552886EB
BB062B2B5722478E,195733224245A760
FB92A102F1C4DFA3,480609C7D10E7F3E
4859F1FC66A6278E,3D28F4F0775C6C2A
B3C94A90D9FC9E62,C50751593572DDAE
